Statement,Header,Field Name,Field Value
Statement,Data,Title,Transaction History
Statement,Data,Period,"April 8, 2021 - March 31, 2026"
Statement,Data,WhenGenerated,"2026-04-01, 17:11:42 EDT"
Summary,Header,Field Name,Field Value
Summary,Data,Base Currency,USD
Summary,Data,Starting Cash,1763.85
Summary,Data,Change,-1735.4662240829998
Summary,Data,Ending Cash,28.383775917
Transaction History,Header,Date,Account,Description,Transaction Type,Symbol,Quantity,Price,Price Currency,Gross Amount ,Commission,Net Amount
Transaction History,Data,2025-09-29,dm,DGS(US97717W2816) Cash Dividend USD 0.795 per Share - US Tax,Foreign Tax Withholding,DGS,-,-,-,-0.05,-,-0.05
Transaction History,Data,2025-09-29,dm,DGS(US97717W2816) Payment in Lieu of Dividend (Ordinary Dividend),Payment in Lieu,DGS,-,-,-,149.46,-,149.46
Transaction History,Data,2025-09-29,dm,DGS(US97717W2816) Payment in Lieu of Dividend - US Tax,Foreign Tax Withholding,DGS,-,-,-,-44.84,-,-44.84
Transaction History,Data,2025-09-25,dm,AVUV(US0250728773) Payment in Lieu of Dividend (Ordinary Dividend),Payment in Lieu,AVUV,-,-,-,250.44,-,250.44
Transaction History,Data,2025-09-25,dm,AVUV(US0250728773) Payment in Lieu of Dividend - US Tax,Foreign Tax Withholding,AVUV,-,-,-,-75.13,-,-75.13
Transaction History,Data,2025-09-25,dm,AVUV(US0250728773) Cash Dividend USD 0.457 per Share (Ordinary Dividend),Dividend,AVUV,-,-,-,0.4,-,0.4
Transaction History,Data,2025-09-25,dm,AVUV(US0250728773) Cash Dividend USD 0.457 per Share - US Tax,Foreign Tax Withholding,AVUV,-,-,-,-0.12,-,-0.12
Transaction History,Data,2025-09-23,dm,JPM GL EQ MULTIFAC UCITS ETF,Sell,JPGL,-0.3329,44.305,USD,14.7491345,-1.70006658,13.04906792
Transaction History,Data,2025-09-22,dm,JPM GL EQ MULTIFAC UCITS ETF,Sell,JPGL,-53.0,44.3,USD,2347.9,-1.78,2346.12
Transaction History,Data,2025-09-22,dm,SPDR EUROPE S/C VALUE,Sell,ZPRX,-91.0,58.67,EUR,6301.586291,-3.451668942304,6298.134622057696
Transaction History,Data,2025-09-22,dm,"Net Amount in Base from Forex Trade: -3,727 EUR.USD",Forex Trade Component,EUR.USD,-3727.0,1.17825,USD,-9.640349999999671,-2.0,-9.640349999999671
Transaction History,Data,2025-09-22,dm,Net Amount in Base from Forex Trade: -0.34560032 EUR.USD,Forex Trade Component,EUR.USD,-0.34560032,1.17825,USD,-7.084806959999912E-4,-,-7.084806959999912E-4
Transaction History,Data,2025-09-22,dm,JPM GL EQ MULTIFAC UCITS ETF,Sell,JPGL,-1331.0,44.3,USD,58963.3,-29.0356,58934.2644
Transaction History,Data,2025-09-22,dm,AVANTIS INTL S/C VALUE ETF,Sell,AVDV,-8.0,87.91,USD,703.28,-0.34056125,702.93943875
Transaction History,Data,2025-09-22,dm,AVANTIS INTL S/C VALUE ETF,Sell,AVDV,-68.0,87.91,USD,5977.88,0.082416,5977.962416
Transaction History,Data,2025-09-22,dm,SPDR USA S/C VALUE,Sell,USSC,-9.0,75.48,USD,679.32,-1.78,677.5400000000001
Transaction History,Data,2025-09-22,dm,SPDR USA S/C VALUE,Sell,USSC,-9.0,75.48,USD,679.32,-0.08,679.24
Transaction History,Data,2025-09-22,dm,SPDR USA S/C VALUE,Sell,USSC,-9.0,75.48,USD,679.32,-0.08,679.24
Transaction History,Data,2025-09-22,dm,SPDR USA S/C VALUE,Sell,USSC,-9.0,75.48,USD,679.32,-0.08,679.24
Transaction History,Data,2025-09-22,dm,SPDR USA S/C VALUE,Sell,USSC,-9.0,75.48,USD,679.32,-0.08,679.24
Transaction History,Data,2025-09-22,dm,SPDR USA S/C VALUE,Sell,USSC,-81.0,75.48,USD,6113.88,-3.13524,6110.7447600000005
Transaction History,Data,2025-09-22,dm,SPDR USA S/C VALUE,Sell,USSC,-9.0,75.48,USD,679.32,-0.41966,678.90034
Transaction History,Data,2025-09-22,dm,SPDR USA S/C VALUE,Sell,USSC,-9.0,75.48,USD,679.32,-0.41966,678.90034
Transaction History,Data,2025-09-22,dm,SPDR USA S/C VALUE,Sell,USSC,-9.0,75.48,USD,679.32,-0.41966,678.90034
Transaction History,Data,2025-09-22,dm,SPDR USA S/C VALUE,Sell,USSC,-9.0,75.48,USD,679.32,-0.41966,678.90034
Transaction History,Data,2025-09-22,dm,SPDR USA S/C VALUE,Sell,USSC,-9.0,75.48,USD,679.32,-0.41966,678.90034
Transaction History,Data,2025-09-22,dm,SPDR USA S/C VALUE,Sell,USSC,-18.0,75.48,USD,1358.64,-0.75932,1357.8806800000002
Transaction History,Data,2025-09-22,dm,ISHARES CORE EM IMI ACC,Sell,EIMI,-2.0,43.23,USD,86.46,-1.78,84.67999999999999
Transaction History,Data,2025-09-22,dm,ISHARES CORE EM IMI ACC,Sell,EIMI,-300.0,43.23,USD,12969.0,-4.90773,12964.09227
Transaction History,Data,2025-09-17,dm,AM PRIME GLOBAL UCITS ETF C,Buy,F50A,49.0,32.805,EUR,-1898.880685,-1.476625,-1900.35731
Transaction History,Data,2025-09-17,dm,Electronic Fund Transfer,Deposit,-,-,-,-,1882.62,-,1882.62
Transaction History,Data,2025-09-04,dm,USD Debit Interest for Aug-2025,Debit Interest,-,-,-,-,-505.91,-,-505.91
Transaction History,Data,2025-09-04,dm,USD IBKR Managed Securities (SYEP) Interest for Aug-2025,Credit Interest,-,-,-,-,0.38,-,0.38
Transaction History,Data,2025-08-08,dm,Net Amount in Base from Forex Trade: -0.02 EUR.USD,Forex Trade Component,EUR.USD,-0.02,1.16655,USD,4.70000000000019E-5,-,4.70000000000019E-5
Transaction History,Data,2025-08-05,dm,USD Debit Interest for Jul-2025,Debit Interest,-,-,-,-,-497.49,-,-497.49
Transaction History,Data,2025-08-05,dm,USD IBKR Managed Securities (SYEP) Interest for Jul-2025,Credit Interest,-,-,-,-,3.49,-,3.49
Transaction History,Data,2025-08-05,dm,EUR IBKR Managed Securities (SYEP) Interest for Jul-2025,Credit Interest,-,-,-,-,0.02315,-,0.02315
Transaction History,Data,2025-07-22,dm,Electronic Fund Transfer,Deposit,-,-,-,-,9000.0,-,9000.0
Transaction History,Data,2025-07-22,dm,SPDR MSCI WORLD ACC,Buy,SWRD,113.0,43.54,USD,-4920.02,-2.7614109,-4922.7814109
Transaction History,Data,2025-07-22,dm,SPDR MSCI WORLD ACC,Buy,SWRD,0.9182,43.54,USD,-39.978428,-0.020172854,-39.998600854
Transaction History,Data,2025-07-22,dm,SPDR USA S/C VALUE,Buy,USSC,1.0,70.91,USD,-70.91,-1.914916352,-72.824916352
Transaction History,Data,2025-07-22,dm,SPDR USA S/C VALUE,Buy,USSC,0.9478,70.91,USD,-67.208498,-1.8956E-4,-67.20868756
Transaction History,Data,2025-07-22,dm,SPDR USA S/C VALUE,Buy,USSC,68.0,70.91,USD,-4821.88,-0.793599249,-4822.673599249
Transaction History,Data,2025-07-03,dm,USD Debit Interest for Jun-2025,Debit Interest,-,-,-,-,-487.5,-,-487.5
Transaction History,Data,2025-07-03,dm,USD IBKR Managed Securities (SYEP) Interest for Jun-2025,Credit Interest,-,-,-,-,0.58,-,0.58
Transaction History,Data,2025-06-27,dm,DGS(US97717W2816) Cash Dividend USD 0.525 per Share (Ordinary Dividend),Dividend,DGS,-,-,-,0.11,-,0.11
Transaction History,Data,2025-06-27,dm,DGS(US97717W2816) Cash Dividend USD 0.525 per Share - US Tax,Foreign Tax Withholding,DGS,-,-,-,-0.03,-,-0.03
Transaction History,Data,2025-06-27,dm,DGS(US97717W2816) Payment in Lieu of Dividend (Ordinary Dividend),Payment in Lieu,DGS,-,-,-,98.7,-,98.7
